OBJECTID,shortest_dist
1,1043.5
2,1044.67
3,1046.36
4,714.14
5,685.97
6,1243.64
7,692.38
8,676.81
9,592.82
10,233.25
11,229.02
12,218.81
13,220.92
14,507.58
15,683.55
16,463.59
17,489.61
18,491.69
19,488.37
20,488.16
21,710.63
22,456.12
23,660.52
24,508.47
25,484.47
26,485.04
27,650.3
28,508.32
29,486.56
30,513.67
31,503.1
32,507.72
33,668.79
34,459.2
35,2148.05
36,230.96
37,236.82
38,227.97
39,232.54
40,226.89
41,234.44
42,678.45
43,235.05
44,1058.4
45,462.51
46,471.08
47,229.52
48,870.15
49,219.01
50,217.95
51,498.96
52,468.04
53,653.15
54,1253.31
55,455.22
56,1251.11
57,681.39
58,1287.45
59,1252.45
60,1242.19
61,222.69
62,504.14
63,677.05
64,512.67
65,991.6
66,1290.9
67,713.56
68,1231.87
69,565.07
70,1289.75
71,657.77
72,1255.6
73,1222.91
74,756.22
75,1224.35
76,2148.16
77,1217.93
78,1237.14
79,1224.99
80,1251.89
81,1243.89
82,1225.06
83,1225.68
84,1249.6
85,1245.22
86,753.83
87,1223.81
88,1212.43
89,1212.44
90,1005.38
91,1223.58
92,1037.23
93,1149.5
94,2153.8
95,1028.2
96,1156.3
97,217.38
98,1222.07
99,1114.83
100,746.63
101,1283.83
102,1127.99
103,742.03
104,1146.72
105,1133.84
106,1229.0
107,754.32
108,1111.25
109,1225.7
110,754.86
111,831.67
112,1216.14
113,1213.96
114,1251.74
115,829.89
116,835.81
117,1213.79
118,832.07
119,821.73
120,676.14
121,1154.53
122,1163.63
123,818.51
124,1279.79
125,1121.74
126,842.82
127,822.39
128,342.41
129,1140.05
130,1138.21
131,1139.54
132,1160.28
133,1233.0
134,913.01
135,1221.04
136,812.54
137,1044.59
138,1038.38
139,1130.75
140,925.6
141,1137.49
142,1223.13
143,1017.25
144,230.26
145,1115.6
146,1126.58
147,819.74
148,813.05
149,1252.83
150,1199.47
151,1219.97
152,816.63
153,1249.8
154,1248.98
155,1217.61
156,1220.46
157,1188.23
158,801.05
159,807.46
160,806.55
161,808.26
162,800.18
163,806.64
164,816.1
165,806.79
166,763.36
167,1087.13
168,800.18
169,594.52
170,921.06
171,626.6
172,570.24
173,761.34
174,770.67
175,920.85
176,834.24
177,642.4
178,810.05
179,1096.13
180,895.62
181,829.48
182,868.19
183,879.86
184,872.92
185,1102.02
186,813.42
187,828.88
188,457.62
189,923.05
190,894.2
191,861.49
192,494.31
193,636.92
194,1089.97
195,763.79
196,806.92
197,884.9
198,897.09
199,910.44
200,607.66
201,795.1
202,846.72
203,573.09
204,1291.23
205,755.35
206,828.47
207,846.26
208,1112.56
209,1160.51
210,1125.52
211,1028.25
212,918.22
213,765.98
214,822.24
215,865.18
216,584.24
217,561.26
218,1098.8
219,569.74
220,1121.03
221,1140.25
222,1163.4
223,639.02
224,1125.59
225,832.19
226,1108.64
227,1086.18
228,1131.23
229,1106.02
230,1093.11
231,1105.48
232,1086.8
233,847.29
234,1095.6
235,688.52
236,1138.13
237,1169.03
238,349.57
239,1151.48
240,1014.08
241,932.01
242,1134.95
243,1173.66
244,1209.43
245,1294.86
246,686.86
247,1127.73
248,814.09
249,821.24
250,237.74
251,818.3
252,834.56
253,1089.64
254,686.14
255,1073.74
256,1242.51
257,500.44
258,1168.08
259,1101.0
260,1130.76
261,854.89
262,1049.57
263,1070.45
264,846.11
265,1285.09
266,1136.91
267,1110.95
268,768.91
269,866.72
270,1046.04
271,403.11
272,1096.17
273,898.38
274,1166.49
275,843.26
276,1124.29
277,814.75
278,1105.88
279,1096.97
280,729.39
281,1259.8
282,1298.6
283,1173.01
284,568.8
285,597.45
286,852.89
287,1120.27
288,1133.01
289,822.13
290,1094.74
291,1089.19
292,1048.19
293,509.8
294,1102.14
295,1151.13
296,1141.04
297,1164.63
298,1192.82
299,1022.95
300,1116.26
301,1135.59
302,1280.37
303,1140.31
304,1277.14
305,503.98
306,1149.32
307,1190.74
308,1193.92
309,1197.1
310,1256.13
311,1133.82
312,1153.37
313,1258.99
314,1141.81
315,1202.37
316,1138.11
317,1144.37
318,1037.76
319,1099.03
320,1199.36
321,1196.6
322,1105.94
323,949.42
324,1038.31
325,1139.64
326,916.07
327,1127.92
328,1108.76
329,1150.42
330,1146.1
331,363.92
332,1148.74
333,1298.05
334,1138.59
335,764.1
336,1292.21
337,1038.29
338,1115.91
339,1120.67
340,908.18
341,1289.78
342,1146.86
343,1186.52
344,1279.65
345,916.21
346,922.92
347,927.87
348,1244.8
349,1109.06
350,1243.73
351,1251.75
352,722.36
353,822.43
354,835.89
355,1217.94
356,908.3
357,1254.34
358,1191.98
359,1282.98
360,893.02
361,1047.7
362,1216.94
363,888.17
364,1259.38
365,1198.11
366,1239.6
367,682.86
368,1253.04
369,766.79
370,1253.77
371,1243.81
372,886.34
373,1257.19
374,1243.79
375,890.29
376,1178.55
377,1254.69
378,1200.29
379,1222.62
380,1024.76
381,1039.71
382,931.77
383,1190.08
384,777.9
385,781.37
386,782.83
387,809.22
388,785.49
389,761.07
390,767.68
391,811.13
392,800.73
393,772.59
394,810.77
395,811.41
396,797.62
397,800.08
398,819.48
399,810.59
400,810.84
401,804.87
402,810.5
403,811.78
404,817.81
405,814.74
406,795.78
407,1218.99
408,1244.48
409,1164.8
410,1293.2
411,1271.31
412,1220.57
413,1265.87
414,1104.79
415,1301.77
416,1301.26
417,1291.43
418,1022.67
419,1243.9
420,1131.58
421,1198.3
422,1181.63
423,1164.81
424,1122.91
425,1271.99
426,1146.53
427,1166.92
428,1168.82
429,1165.89
430,1122.53
431,1259.34
432,713.96
433,1271.35
434,1279.96
435,1167.89
436,1232.98
437,920.32
438,1263.23
439,1136.64
440,1018.78
441,997.94
442,1257.98
443,1133.64
444,1274.26
445,1004.0
446,1265.86
447,1165.03
448,1256.57
449,821.82
450,1254.63
451,1277.04
452,1096.49
453,1266.02
454,1139.9
455,1280.36
456,1166.55
457,1258.67
458,1266.54
459,1188.05
460,1144.09
461,1232.93
462,1290.84
463,1242.05
464,1148.87
465,1157.6
466,1255.11
467,1160.58
468,1264.65
469,1281.66
470,1258.19
471,1112.24
472,1159.9
473,1170.3
474,1149.22
475,1250.74
476,1178.97
477,1254.4
478,1127.65
479,1249.55
480,1092.99
481,1255.5
482,1139.7
483,1158.44
484,1005.64
485,1161.01
486,1119.18
487,229.11
488,1255.63
489,230.47
490,1260.29
491,1255.87
492,1256.9
493,1116.14
494,1245.79
495,1253.73
496,1157.04
497,1110.78
498,1004.17
499,1252.74
500,1110.52
501,1138.89
502,1088.58
503,1092.62
504,1159.11
505,1252.83
506,1171.91
507,1256.81
508,1277.34
509,1261.88
510,1258.39
511,1158.38
512,1254.96
513,1111.92
514,1245.24
515,1082.16
516,889.78
517,1090.48
518,1167.08
519,1091.99
520,1208.06
521,1133.69
522,1275.44
523,1253.11
524,1235.14
525,1243.54
526,1165.01
527,1157.28
528,1244.79
529,1165.83
530,813.96
531,1037.69
532,1278.33
533,1124.43
534,1161.78
535,1188.7
536,890.61
537,1292.21
538,1243.12
539,1161.48
540,1225.31
541,976.7
542,1155.97
543,888.22
544,1192.84
545,1010.49
546,1138.94
547,1140.69
548,1054.6
549,1158.47
550,1276.25
551,1283.33
552,1164.25
553,1223.48
554,1150.75
555,1160.22
556,1160.22
557,891.93
558,1240.73
559,1159.07
560,1172.39
561,1226.1
562,1228.94
563,1248.1
564,1217.04
565,1159.0
566,1189.16
567,1188.75
568,1190.03
569,1192.9
570,1202.04
571,1216.31
572,1221.8
573,1211.92
574,1213.37
575,1215.21
576,1190.93
577,1192.63
578,1196.91
579,1211.8
580,802.24
581,1215.51
582,1215.71
583,1285.35
584,1288.09
585,1167.14
586,775.47
587,1245.25
588,1287.78
589,1166.3
590,900.61
591,1164.26
592,1252.02
593,1273.83
594,1244.91
595,1155.02
596,1295.23
597,1162.78
598,1280.43
599,1020.43
600,1094.28
601,1213.06
602,1268.12
603,907.8
604,1301.9
605,1215.63
606,1233.85
607,1161.09
608,1236.73
609,1285.92
610,1165.74
611,1263.7
612,1225.26
613,1276.35
614,1268.72
615,1226.03
616,914.92
617,1147.99
618,1256.26
619,1279.04
620,1242.01
621,895.3
622,1155.07
623,998.89
624,1259.82
625,1240.46
626,1282.99
627,1233.4
628,1243.24
629,1250.75
630,1010.06
631,1267.35
632,1217.15
633,1249.59
634,888.16
635,1273.3
636,890.13
637,901.11
638,1232.33
639,1232.84
640,791.7
641,830.27
642,816.49
643,1220.82
644,1300.47
645,1147.09
646,1254.91
647,1006.55
648,1061.46
649,1238.56
650,913.4
651,1210.46
652,807.37
653,792.55
654,804.43
655,814.61
656,791.41
657,813.67
658,812.8
659,792.66
660,801.78
661,802.78
662,803.39
663,803.12
664,809.69
665,816.04
666,817.6
667,1213.82
668,807.25
669,805.69
670,825.0
671,810.94
672,809.66
673,1273.56
674,1289.57
675,1291.68
676,1292.51
677,1264.76
678,1230.93
679,1256.35
680,1166.29
681,1294.14
682,1266.63
683,805.11
684,1301.07
685,1137.28
686,1284.58
687,1156.76
688,1294.61
689,1302.32
690,1298.91
691,1308.79
692,1243.06
693,1249.22
694,1246.94
