YEAR,COMMODITY_DESC,AREA HARVESTED,AREA PLANTED,smoke_estimate,num_fires,PRODUCTION,YIELD
1963,OATS,41000.0,49000.0,7.409755489014682,344,1148000.0,28.0
1964,OATS,52500.0,53500.0,9.473444545191878,353,2257500.0,43.0
1965,OATS,53000.0,54000.0,6.4152118274074015,313,2544000.0,48.0
1966,OATS,50000.0,53000.0,8.631456184536034,379,1850000.0,37.0
1967,OATS,41000.0,53000.0,6.593156925304841,404,861000.0,21.0
1968,OATS,65000.0,68000.0,8.650442328903003,362,2925000.0,45.0
1969,OATS,61000.0,65000.0,7.775776374173888,289,3050000.0,50.0
1970,OATS,57000.0,64000.0,9.188843207565718,524,1767000.0,31.0
1971,OATS,51000.0,56000.0,10.242203829232826,407,2499000.0,49.0
1972,OATS,48000.0,56000.0,9.040092677972618,429,2160000.0,41.8
1973,OATS,31000.0,53000.0,10.070831728231306,458,744000.0,19.0
1974,OATS,42900.0,56200.0,8.558115085852231,582,880400.0,18.1
1975,OATS,45900.0,55700.0,8.770256301241643,442,2074800.0,41.2
1976,OATS,42400.0,53300.0,7.351727410641395,579,1457100.0,30.85
1977,OATS,15700.0,43000.0,7.718897706774714,498,428400.0,18.65
1978,OATS,42000.0,46500.0,8.018803236098798,524,2347500.0,53.2
1979,OATS,31500.0,41000.0,10.593363838839329,710,1323000.0,42.0
1980,OATS,6600.0,30000.0,9.61827854453652,907,196000.0,23.1
1981,OATS,28500.0,39000.0,10.184407038923295,949,1011000.0,35.5
1982,OATS,32000.0,37000.0,9.410505784911411,623,1635000.0,51.0
1983,OATS,40500.0,50000.0,10.112897738323984,787,1640000.0,40.25
1984,OATS,31000.0,38000.0,10.091184883310717,1015,1426000.0,45.5
1985,OATS,32400.0,45000.0,11.05764388369136,1363,1528000.0,46.900000000000006
1986,OATS,29000.0,40000.0,9.895962562629496,1340,1465000.0,43.55
1987,OATS,27500.0,43500.0,10.480642558491367,1846,1388000.0,41.2
1988,OATS,3000.0,38000.0,10.657914140283781,1664,24000.0,4.3
1989,OATS,12000.0,47000.0,10.30974536746288,1366,288000.0,15.05
1990,OATS,26500.0,41000.0,9.049541573567046,1167,1127000.0,35.0
1991,OATS,25000.0,41000.0,9.64303017069209,1146,999000.0,40.0
1992,OATS,20000.0,31000.0,9.04554870379612,1129,1355000.0,67.8
1993,OATS,19200.0,32500.0,10.174825723428233,820,1256000.0,65.4
1994,OATS,17000.0,27000.0,11.739397862022905,1593,906000.0,53.3
1995,OATS,20000.0,25000.0,10.362040264022509,1274,867000.0,43.4
1996,OATS,13000.0,20000.0,12.33777852848044,1614,550000.0,42.3
1997,OATS,12500.0,25500.0,10.103605626867571,903,393000.0,31.4
1998,OATS,10900.0,26000.0,10.920190307352048,1315,601000.0,55.1
1999,OATS,11900.0,21000.0,11.318857262241432,1806,720000.0,60.5
2000,OATS,9800.0,18000.0,11.654269525836234,2374,590000.0,60.2
2001,OATS,10000.0,20000.0,10.922039314290421,2010,515000.0,51.5
2002,OATS,8500.0,21000.0,11.528383645819135,1894,217000.0,25.5
2003,OATS,14000.0,20000.0,11.542973067180004,2151,790000.0,56.4
2004,OATS,8600.0,18000.0,11.475419933296541,1649,582000.0,67.7
2005,OATS,10300.0,18500.0,12.371238182647753,2364,622000.0,60.4
2006,OATS,900.0,14000.0,12.551555555744086,3284,20000.0,22.2
2007,OATS,7400.0,16500.0,12.463145314371866,3119,416000.0,56.2
2008,OATS,5190.0,12000.0,12.625039758427688,2802,228000.0,43.9
2009,OATS,24628.26923076923,35138.46153846154,12.31837796019284,2979,1053782.6923076923,44.30480769230769
2010,OATS,3500.0,8500.0,12.344824003332795,2927,210000.0,60.0
2011,OATS,2450.0,5800.0,11.47529575468192,4811,148000.0,60.4
2012,OATS,24628.26923076923,35138.46153846154,12.641902066028186,3435,1053782.6923076923,44.30480769230769
2013,OATS,24628.26923076923,35138.46153846154,12.427701263546766,2660,1053782.6923076923,44.30480769230769
2014,OATS,2350.0,7600.0,13.158079315856886,3015,181000.0,77.0
2015,OATS,24628.26923076923,35138.46153846154,13.303617896172916,3224,1053782.6923076923,44.30480769230769
2016,OATS,24628.26923076923,35138.46153846154,13.19331002425178,3834,1053782.6923076923,44.30480769230769
2017,OATS,24628.26923076923,35138.46153846154,12.81189054528222,3965,1053782.6923076923,44.30480769230769
2018,OATS,24628.26923076923,35138.46153846154,12.88138663893973,3737,1053782.6923076923,44.30480769230769
2019,OATS,24628.26923076923,35138.46153846154,11.554043417740798,3117,1053782.6923076923,44.30480769230769
2020,OATS,1800.0,9800.0,8.339470247598388,4271,142000.0,78.9
